name,raw_skill,trendiness,prestige
8443945,16031.7,1.800302998137243,2.321144984057476
7657831,15735.9,1.801948038914516,2.6683307913694425
4141918,15520.8,1.7379541626266477,2.77695300710519
14733798,15349.3,4.028237865865703,2.081638620405489
18323396,14855.4,1.983137884457829,1.886176607564209
11948617,14693.9,1.742224895029193,1.9690251770260887
2831793,14450.7,1.6223517765050608,9.644935363110276
17104779,14389.6,2.31754752829001,1.615180562279674
6133101,14105.9,1.889017207153496,1.8618904279939137
6337610,13884.3,2.403521260813929,1.763912679379334
7806847,13707.7,1.981495011627026,1.9974238387782235
3872987,13647.7,2.012662950368045,2.749672327205852
14176480,13546.5,2.3355674491764384,1.8726894808085377
251683,13406.3,1.8890866915407163,4.639425675027064
284905,13401.6,1.7639443755514173,6.764565564030106
11750028,13357.3,3.1027475427373705,1.894349202232135
14289060,13262.7,1.773986269084138,1.597116370206909
5783315,13236.3,1.859048804359975,1.9890333585359063
13080423,13143.6,1.7573911235563098,1.6329923051604678
7728757,13112.5,1.53333404777662,1.986408398234124
718454,13076.6,1.6342897473625588,7.936665303245329
11345747,13037.3,1.8687250111108755,1.680019717383121
3820683,12988.9,1.6806802208815146,2.2707622308115063
13652059,12922.9,1.8763929385277225,1.67196537581676
3213239,12651.8,1.6126312395077886,3.021734962139742
4185400,12661.0,3.192821823240165,1.7660485427046817
11053358,12629.7,1.936481773386028,1.8008736679823742
8236827,12525.6,1.740605201064566,1.86576316286514
10656864,12525.1,2.42626756611526,1.7468287787825818
8573172,12522.5,1.7550728886180285,1.824068215209384
7068158,12512.1,2.6338939789021056,1.70875399899084
4301976,12611.5,2.4360369759111573,1.6969532246656225
11843859,12294.0,2.115571653554629,1.752522943483811
5189431,12268.7,1.7409372364178526,2.0426507502455458
14935968,12057.1,2.72728471275543,1.4994723488235275
14165027,12013.1,1.7951292670068062,1.5574994294051845
1093361,12001.3,1.677074703817558,2.4515829343401627
12529846,11858.0,2.113510335262934,1.5032342278208342
14547194,11803.6,2.0802999164671108,1.4824004786140126
2705430,11800.1,1.966066169252974,1.8437911716198248
9650310,11780.9,2.4201587175378823,1.5842513924742567
11170841,11830.5,2.9177614318098466,1.541362194319669
1825928,11760.4,1.705941155055038,1.9339185452697656
6137858,11741.7,1.975499879380552,1.5580889345023785
1545031,11717.9,1.656056788582848,5.708587707030834
12498437,11705.9,1.7130582720727676,1.617322172692739
11285958,11700.9,2.309522389644292,1.4943524260933236
7630971,11636.6,1.7328535229851108,2.946697176073147
22603358,11553.1,1.9343952071972697,1.4706888716590032
4595465,11534.3,1.930326405452496,2.39372283114004
12902063,11617.9,4.366142704804965,1.469423780644281
14522031,11527.2,2.0768404791799493,1.6141480712604208
