id,pp,hit_accuracy,play_count,play_time,replays_watched_by_others,maximum_combo,badges,follower_count,is_active,is_silenced,join_date,mapping_follower_count,scores_first_count,scores_recent_count,support_level,rank_peak,rank_current_to_worst,rank_current_to_mean,rank_current_to_highest_ever,activity,last_month_activity,topplay_activity
8443945,16031.7,98.4161,121583.0,4339690.0,8.62191350218664,4196.0,1.0,6.373319789577012,1.0,0.0,2834.0,3.8501476017100584,1.0986122886681098,0.0,2.0,-3.428990497563786,-0.10841507485802789,-0.04543107898812603,-0.14074074074074075,37.300000000000004,0.0,0.00016317102700591336
7657831,15735.8,99.3959,121428.0,7113839.0,10.366088852015102,9974.0,0.0,7.8160138391590275,1.0,0.0,2979.0,4.174387269895637,1.3862943611198906,2.0794415416798357,3.0,-3.0646415084724836,-0.09554816335197112,-0.05739967442848049,-0.5783132530120482,892.5,24.0,8.823429672307921e-05
4141918,15520.8,99.1191,265875.0,13210813.0,9.541153770388567,9417.0,0.0,6.921658184151129,1.0,0.0,3633.0,2.8903717578961645,2.5649493574615367,0.0,0.0,-3.094912279440009,-0.08099768578040628,-0.04718436616096689,-0.5966850828729282,307.7,7.0,1.0280816549117433e-71
14733798,15348.6,97.8227,128490.0,4792255.0,7.033506484287697,2299.0,0.0,5.488937726156687,1.0,0.0,1703.0,0.6931471805599453,2.0794415416798357,3.332204510175204,0.0,-3.811025909728188,0.0,0.3371714830460952,0.0,3145.8,32.0,11.80843425484306
18323396,14855.4,97.869,153383.0,6555741.0,6.340359303727752,6147.0,0.0,6.641182169740591,1.0,0.0,1272.0,2.4849066497880004,0.6931471805599453,0.6931471805599453,2.0,-3.922745025472188,-0.06874550682961898,-0.019051042415528387,-0.0873015873015873,1350.9,4.0,0.005839552267005496
11948617,14693.9,99.0258,115847.0,7744354.0,8.259716961021523,8337.0,0.0,6.495265555937008,1.0,0.0,2166.0,2.0794415416798357,0.0,0.0,0.0,-3.4653686687814433,-0.09429020429544265,-0.04112100576217916,-0.539622641509434,472.2,1.0,5.878658706076359e-09
2831793,14450.7,99.3023,171592.0,9291831.0,13.614709298423449,8253.0,3.0,9.668903811079362,1.0,0.0,3902.0,4.060443010546419,4.553876891600541,0.0,0.0,-0.5,-0.12562719281699172,-0.06273814464103815,-0.9936102236421726,95.0,0.0,6.066017338314341e-99
17104779,14389.6,97.8901,96360.0,3498461.0,4.382026634673881,3161.0,0.0,5.236441962829949,1.0,0.0,1376.0,0.0,0.0,0.0,2.0,-4.151890374088552,-0.012173266154938626,0.026138707604909925,-0.0125,1867.1999999999998,18.0,3.5666791028997067
6133101,14105.9,99.5453,146957.0,13074331.0,9.087946723762116,9381.0,0.0,5.953243334287785,1.0,0.0,3274.0,1.6094379124341003,0.0,2.8903717578961645,3.0,-4.116809838379851,-0.12852654628542415,-0.07105455237853453,-0.19733333333333333,1076.2,19.0,0.08194239722650658
6337610,13883.9,97.4198,149249.0,6548122.0,7.1459844677143876,3208.0,0.0,6.159095388491933,1.0,0.0,3234.0,1.9459101490553132,0.0,3.4657359027997265,0.0,-4.041074520676936,-0.025352112676056335,0.029705505761843845,-0.35629453681710216,999.8,13.0,4.362142333686834
7806847,13707.6,99.0,114086.0,7583783.0,7.521859252201629,8340.0,0.0,6.4692503167957724,1.0,0.0,2955.0,1.6094379124341003,1.6094379124341003,0.0,3.0,-4.382435795368045,-0.05382131324004306,0.011840688912809472,-0.05228758169934641,257.1,2.0,0.8594692657706183
